shipment_id,export_country,import_country,commodity,hs_code,quantity,declared_value_usd,transport_mode,departure_port,arrival_port,transit_time_days,delay_status,contract_value_usd,payment_terms,currency_exchange_rate,market_price_per_unit,price_volatility_index,anomaly_flag,weight_kg,shipping_cost_usd
SHP00001,China,Nigeria,Electronics,260300.0,910.0,108694.0,Air,Guangzhou,Lagos,10.0,On-Time,109332.0,Credit,32.04,304.42,0.24,0.0,966.25,6736.4
SHP00002,China,Nigeria,Agricultural,260300.0,3494.0,21023.0,Road,Beijing,Tema,5.0,On-Time,20792.0,Credit,50.96,2815.97,0.01,0.0,16781.18,14027.25
SHP00003,China,South Africa,Machinery,847130.0,1234.0,90305.0,Road,Shenzhen,Durban,24.0,On-Time,90161.0,Credit,21.45,1837.5,0.08,0.0,48471.22,33014.01
SHP00004,China,Tanzania,Textiles,260300.0,2797.0,128855.0,Ship,Beijing,Mombasa,17.0,On-Time,128541.0,Credit,43.86,1150.47,0.49,1.0,1898.96,821.17
SHP00005,China,Tanzania,Minerals,847130.0,1578.0,16394.0,Road,Beijing,Lagos,39.0,On-Time,15414.0,On Delivery,32.36,44.73,0.47,1.0,11582.96,11702.2
SHP00006,China,Kenya,Machinery,100610.0,2111.0,73148.0,Rail,Beijing,Tema,4.0,On-Time,73538.0,On Delivery,48.3,1831.94,0.42,1.0,34282.18,31099.34
SHP00007,China,South Africa,Minerals,843890.0,84.0,85077.0,Ship,Shenzhen,Addis Ababa,19.0,On-Time,85972.0,On Delivery,53.24,1278.34,0.11,0.0,493.19,245.65
SHP00008,China,Ethiopia,Minerals,100610.0,3893.0,14692.0,Ship,Shenzhen,Cairo,20.0,On-Time,13853.0,Prepaid,28.57,2780.34,0.37,0.0,70045.36,25244.52
SHP00009,China,South Africa,Textiles,520942.0,3392.0,45397.0,Road,Shanghai,Tema,25.0,On-Time,46122.0,Credit,23.79,1169.09,0.14,0.0,2309.59,3166.89
SHP00010,China,Ghana,Agricultural,520942.0,1126.0,91807.0,Rail,Beijing,Mombasa,28.0,Delayed,90994.0,On Delivery,38.67,427.07,0.4,0.0,4315.16,3868.66
SHP00011,China,Tanzania,Minerals,520942.0,114.0,53984.0,Ship,Guangzhou,Tema,9.0,On-Time,54136.0,On Delivery,15.11,21.54,0.41,1.0,605.2,365.02
SHP00012,China,Kenya,Machinery,260300.0,441.0,18986.0,Road,Qingdao,Addis Ababa,37.0,On-Time,19782.0,Prepaid,64.95,1954.98,0.46,1.0,21519.21,26817.84
SHP00013,China,Tanzania,Electronics,260300.0,250.0,35535.0,Ship,Shenzhen,Durban,14.0,On-Time,35606.0,Credit,26.9,2008.18,0.34,0.0,437.17,345.96
SHP00014,China,Egypt,Machinery,843890.0,2781.0,15965.0,Air,Guangzhou,Durban,29.0,On-Time,16727.0,On Delivery,9.69,2141.17,0.38,0.0,51430.6,342986.64
SHP00015,China,Tanzania,Machinery,847130.0,552.0,142982.0,Rail,Guangzhou,Mombasa,16.0,On-Time,142374.0,Credit,50.18,337.12,0.23,0.0,9534.7,6378.98
SHP00016,China,Kenya,Electronics,100610.0,913.0,127096.0,Road,Shanghai,Addis Ababa,34.0,On-Time,126580.0,On Delivery,18.58,1234.1,0.38,0.0,707.67,703.8
SHP00017,China,Egypt,Agricultural,843890.0,1109.0,67623.0,Rail,Qingdao,Lagos,9.0,On-Time,67732.0,Prepaid,61.81,1874.94,0.15,0.0,2458.62,839.56
SHP00018,China,Egypt,Electronics,100610.0,3110.0,7693.0,Air,Shenzhen,Lagos,30.0,Delayed,8272.0,Prepaid,30.03,2650.42,0.17,0.0,4002.99,25121.07
SHP00019,China,Kenya,Textiles,847130.0,2088.0,49262.0,Air,Shenzhen,Durban,35.0,On-Time,49568.0,Prepaid,30.76,2454.95,0.43,1.0,1139.12,6619.76
SHP00020,China,Kenya,Machinery,847130.0,759.0,26959.0,Road,Guangzhou,Cairo,29.0,On-Time,27659.0,Prepaid,48.93,811.89,0.13,0.0,16431.72,12781.58
SHP00021,China,Nigeria,Machinery,260300.0,3495.0,66087.0,Road,Guangzhou,Dar es Salaam,34.0,On-Time,66802.0,On Delivery,26.41,2915.49,0.48,1.0,120487.03,81914.94
SHP00022,China,Egypt,Agricultural,843890.0,3631.0,70318.0,Ship,Guangzhou,Tema,4.0,On-Time,70954.0,On Delivery,21.01,115.48,0.31,0.0,5657.01,670.24
SHP00023,China,Nigeria,Electronics,520942.0,4787.0,117859.0,Rail,Shanghai,Dar es Salaam,25.0,On-Time,118107.0,On Delivery,44.95,2043.71,0.27,0.0,4491.24,4456.1
SHP00024,China,Egypt,Textiles,520942.0,2827.0,75467.0,Rail,Beijing,Cairo,13.0,On-Time,74867.0,Credit,51.38,1106.51,0.32,0.0,1393.96,556.21
SHP00025,China,Tanzania,Textiles,260300.0,247.0,94045.0,Road,Shenzhen,Cairo,13.0,Delayed,93188.0,Credit,58.72,965.74,0.1,0.0,139.52,302.46
SHP00026,China,Tanzania,Minerals,260300.0,1844.0,54811.0,Road,Qingdao,Mombasa,38.0,On-Time,55797.0,On Delivery,56.95,1049.25,0.06,0.0,30937.97,20556.13
